"Stnumber","Year","Impacted","DO"
50010500,1969,"N",6.38172258213378
50010500,1970,"N",9.15828418053108
50010500,1970,"N",8.03907643070212
50010500,1974,"N",6.41269220095698
50010500,1974,"N",7.97572557130406
50010500,1974,"N",10.3824852105597
50010500,1974,"N",8.80970437444347
50010500,1974,"N",8.09796633091517
50010500,1975,"N",9.37781687255003
50010500,1975,"N",7.84575149220896
50010500,1975,"N",6.42426619327164
50010500,1975,"N",6.63090987949457
50010500,1975,"N",9.96280073043689
50010500,1975,"N",9.54277799565421
50010500,1976,"N",9.23225909740581
50010500,1976,"N",8.80220989929019
50010500,1976,"N",8.77932363344823
50010500,1976,"N",11.5468399793405
50010500,1976,"N",7.68664880655198
50010500,1976,"N",6.49789607214074
50010500,1977,"N",10.6250592689439
50010500,1977,"N",5.86395724335332
50010500,1977,"N",2.55460044080332
50010500,1977,"N",7.21055702277608
50010500,1977,"N",7.16591413590519
50010500,1977,"N",7.66233139754901
50010500,1978,"N",3.58995063849804
50010500,1978,"N",7.35723843316021
50010500,1978,"N",6.96273353474389
50010500,1978,"N",6.56082709825334
50010500,1978,"N",8.75612850737012
50010500,1978,"N",4.52615748520847
50010500,1979,"N",4.57065689336794
50010500,1979,"N",7.06268859602328
50010500,1979,"N",7.61299526358652
50010500,1979,"N",8.10104050849558
50010500,1979,"N",8.29694787939628
50010500,1980,"N",7.29493840161565
50010500,1980,"N",8.07822604332344
50010500,1980,"N",8.21178233070953
50010500,1980,"N",9.02050668556963
50010500,1980,"N",8.56186823148872
50010500,1980,"N",9.0552386641996
50010500,1981,"N",10.3374550497242
50010500,1981,"N",6.42550105861574
50010500,1981,"N",8.5930367862763
50010500,1981,"N",10.216275616055
50010500,1981,"N",8.34163884704622
50010500,1981,"N",7.0029684024286
50010500,1982,"N",8.58450593446011
50010500,1982,"N",8.38229344401467
50010500,1982,"N",7.93979136863207
50010500,1982,"N",6.03770719567459
50010500,1982,"N",9.12517888241651
50010500,1982,"N",7.06548343005029
50010500,1983,"N",9.25388141915195
50010500,1983,"N",7.0438651547126
50010500,1983,"N",8.0811945150641
50010500,1983,"N",10.8201655359961
50010500,1983,"N",9.33013042090518
50010500,1984,"N",8.18010525741081
50010500,1984,"N",9.49757466836782
50010500,1984,"N",8.78477017725104
50010500,1984,"N",8.7636629737775
50010500,1984,"N",8.58489803272473
50010500,1985,"N",8.02482589082501
50010500,1985,"N",6.30406674939108
50010500,1985,"N",7.88689074320622
50010500,1985,"N",9.92936115578976
50010500,1985,"N",7.15219106421539
50010500,1985,"N",9.30658284326847
50010500,1986,"N",5.82578021451598
50010500,1986,"N",8.50579393507522
50010500,1986,"N",6.96138761278586
50010500,1986,"N",8.51307497148004
50010500,1986,"N",7.50894544022019
50010500,1986,"N",8.94533285919334
50010500,1987,"N",6.66987946300926
50010500,1987,"N",6.69008960671878
50010500,1987,"N",8.75079396276151
50010500,1987,"N",8.28655719905337
50010500,1988,"N",8.25219918944023
50010500,1988,"N",6.8637308965676
50010500,1988,"N",7.45828925029329
50010500,1988,"N",8.39854281661039
50010500,1988,"N",6.35771394927595
50010500,1989,"N",5.86962720913822
50010500,1989,"N",9.46545044203458
50010500,1989,"N",9.22714526841262
50010500,1989,"N",6.56626132974879
50010500,1989,"N",7.59984835257338
50010500,1989,"N",9.96773511140194
50010500,1990,"N",9.26437784152689
50010500,1990,"N",6.91939110221458
50010500,1990,"N",8.95598837608572
50010500,1990,"N",6.53768991180122
50010500,1990,"N",7.85631679452547
50010500,1991,"N",7.28564226368431
50010500,1991,"N",7.73223663960347
50010500,1991,"N",6.61071143166439
50010500,1991,"N",6.22456669808543
50010500,1991,"N",6.85263152579271
50010500,1991,"N",8.29191529888821
50010500,1992,"N",7.8418445210512
50010500,1992,"N",9.03580409905531
50010500,1992,"N",8.14782996924196
50010500,1992,"N",4.78909627688934
50010500,1992,"N",4.61488453199675
50010500,1993,"N",4.23942283557683
50010500,1993,"N",7.10371865055294
50010500,1993,"N",7.49272198747019
50010500,1993,"N",7.12450295379714
50010500,1993,"N",7.66546867916713
50010500,1993,"N",4.83349015095107
50010500,1994,"N",6.95617078639465
50010500,1994,"N",7.6119178237457
50010500,1994,"N",8.79561377109343
50010500,1994,"N",7.5366788967171
50010500,1994,"N",7.69607473922952
50010500,1994,"N",7.76137055217708
50010500,1995,"N",7.36833078691457
50010500,1995,"N",7.1858153770343
50010500,1995,"N",6.05937486886838
50010500,1995,"N",7.12077534762328
50010500,1995,"N",8.49381663303232
50010500,1996,"N",5.90041680907697
50010500,1996,"N",5.73087637459017
50010500,1996,"N",7.79773685138268
50010500,1996,"N",6.22314302278911
50010500,1996,"N",7.97563778154194
50010500,1996,"N",8.12688242019268
50010500,1997,"N",8.98591596934265
50010500,1997,"N",7.48937130289306
50010500,1997,"N",7.43604343135371
50010500,1997,"N",7.03977415694519
50010500,1998,"N",6.81583598020368
50010500,1998,"N",7.81489619615002
50010500,1998,"N",6.38228974863241
50010500,1998,"N",8.77577772790277
50010500,1999,"N",9.85830778430155
50010500,1999,"N",6.78206231887532
50010500,1999,"N",7.46015524501889
50010500,1999,"N",7.33882571369776
50010500,2000,"N",7.99195122350389
50010500,2000,"N",7.74056774904027
50010500,2000,"N",8.16226720285497
50010500,2000,"N",7.79095856522328
50010500,2001,"N",7.30703410985378
50010500,2001,"N",8.18918876477018
50010500,2001,"N",6.39119101074884
50010500,2001,"N",8.16580245745249
50010500,2002,"N",8.37522796506847
50010500,2002,"N",8.89313605336182
50010500,2002,"N",8.82241551306282
50010500,2003,"N",9.10549610836699
50010500,2003,"N",8.97584659972798
50010500,2003,"N",7.02605297745882
50010500,2003,"N",8.10922469536946
50010500,2003,"N",8.03730009559949
